Distance,G-value,G-value-CSR
0.000000,0.090909,0.000000
103.436733,0.163636,0.000000
206.873466,0.181818,0.000000
310.310199,0.181818,0.000000
413.746932,0.236364,0.000000
517.183665,0.236364,0.000000
620.620397,0.272727,0.000000
724.057130,0.300000,0.000000
827.493863,0.318182,0.000000
930.930596,0.345455,0.000000
1034.367329,0.436364,0.000000
1137.804062,0.490909,0.000000
1241.240795,0.509091,0.000000
1344.677528,0.536364,0.000000
1448.114261,0.545455,0.000000
1551.550994,0.572727,0.000000
1654.987727,0.600000,0.000000
1758.424459,0.627273,0.000000
1861.861192,0.645455,0.000000
1965.297925,0.663636,0.000000
2068.734658,0.690909,0.000000
2172.171391,0.709091,0.000000
2275.608124,0.718182,0.000000
2379.044857,0.736364,0.000000
2482.481590,0.754545,0.000000
2585.918323,0.754545,0.000000
2689.355056,0.790909,0.000000
2792.791788,0.818182,0.000000
2896.228521,0.827273,0.000000
2999.665254,0.827273,0.000000
3103.101987,0.845455,0.000000
3206.538720,0.854545,0.000000
3309.975453,0.881818,0.000000
3413.412186,0.881818,0.000000
3516.848919,0.900000,0.000000
3620.285652,0.909091,0.000000
3723.722385,0.909091,0.000000
3827.159118,0.927273,0.000000
3930.595850,0.945455,0.000000
4034.032583,0.945455,0.000000
4137.469316,0.945455,0.000000
4240.906049,0.945455,0.000000
4344.342782,0.945455,0.000000
4447.779515,0.945455,0.000000
4551.216248,0.945455,0.000000
4654.652981,0.945455,0.000000
4758.089714,0.954545,0.000000
4861.526447,0.954545,0.000000
4964.963180,0.954545,0.000000
5068.399912,0.954545,0.000000
5171.836645,0.954545,0.000000
5275.273378,0.954545,0.000000
5378.710111,0.954545,0.000000
5482.146844,0.954545,0.000000
5585.583577,0.963636,0.000000
5689.020310,0.963636,0.000000
5792.457043,0.972727,0.000000
5895.893776,0.972727,0.000000
5999.330509,0.972727,0.000000
6102.767241,0.981818,0.000000
6206.203974,0.981818,0.000000
6309.640707,0.981818,0.000000
6413.077440,0.981818,0.000000
6516.514173,0.981818,0.000000
6619.950906,0.981818,0.000000
6723.387639,0.981818,0.000000
6826.824372,0.981818,0.000000
6930.261105,0.981818,0.000000
7033.697838,0.981818,0.000000
7137.134571,0.981818,0.000000
7240.571303,0.981818,0.000000
7344.008036,0.981818,0.000000
7447.444769,0.981818,0.000000
7550.881502,0.981818,0.000000
7654.318235,0.981818,0.000000
7757.754968,0.981818,0.000000
7861.191701,0.981818,0.000000
7964.628434,0.981818,0.000000
8068.065167,0.981818,0.000000
8171.501900,0.981818,0.000000
8274.938633,0.981818,0.000000
8378.375365,0.981818,0.000000
8481.812098,0.981818,0.000000
8585.248831,0.981818,0.000000
8688.685564,0.981818,0.000000
8792.122297,0.981818,0.000000
8895.559030,0.990909,0.000000
8998.995763,0.990909,0.000000
9102.432496,0.990909,0.000000
9205.869229,0.990909,0.000000
9309.305962,0.990909,0.000000
9412.742694,0.990909,0.000000
9516.179427,0.990909,0.000000
9619.616160,0.990909,0.000000
9723.052893,0.990909,0.000000
9826.489626,0.990909,0.000000
9929.926359,0.990909,0.000000
10033.363092,0.990909,0.000000
10136.799825,0.990909,0.000000
10240.236558,0.990909,0.000000
