"Wavelength","Panchromatic","Blue","Green","Red","Near IR"
350,0.000055240937968200100,0.000002772902338376890,0.000004558598484384760,0.000001446557573799250,0.000000995030808984297
351,0.000057588181321935900,0.000002608940852819810,0.000003692934882411270,0.000012223324947492300,0.000000863049095607235
352,0.000059936586102368100,0.000002445116918844570,0.000002827271280437790,0.000022999515313776600,0.000000731067382230173
353,0.000062284990882800400,0.000002281292984869330,0.000001961607678464310,0.000033776859694878500,0.000000599100958671621
354,0.000064633395663232700,0.000002117469050894090,0.000001095907349142420,0.000044553050061162800,0.000000467119245294558
355,0.000066980639016968400,0.000001953507565337000,0.000000230231504719464,0.000055330394442264600,0.000000335137531917496
356,0.000057602118442294500,0.000001828473177441540,0.000000416586070540994,0.000075193297481939700,0.000000293426907022614
357,0.000048223597867620600,0.000001703438789546080,0.000000602940636362524,0.000095056200521614700,0.000000251700992309221
358,0.000038845077292946700,0.000001578266850068780,0.000000789282959734584,0.000114919103561290000,0.000000209990367414339
359,0.000029466556718272700,0.000001453232462173310,0.000000975637525556113,0.000134777390541695000,0.000000168279742519456
360,0.000020088036143598800,0.000001328156808803300,0.000001161992091377640,0.000154649525699910000,0.000000126555356787915
361,0.000019606044064528900,0.000001340137551581840,0.000000959550946953466,0.000128372608304291000,0.000000238551748390747
362,0.000019125213412155500,0.000001352104539202200,0.000000757109802529290,0.000102091074849401000,0.000000350534379156919
363,0.000018643221333085600,0.000001364071526822560,0.000000554668658105114,0.000075814157453781700,0.000000462532299741602
364,0.000018161229254015600,0.000001376066024759280,0.000000352227513680937,0.000049537240058162400,0.000000574514930507775
365,0.000017680398601642300,0.000001388033012379640,0.000000149786369256761,0.000023259168647725400,0.000000686512851092458
366,0.000017608390146455900,0.000001420082530949110,0.000000195817979261291,0.000021148475546426000,0.000000549225570692476
367,0.000017537543117966100,0.000001451994497936730,0.000000241849589265820,0.000019037782445126600,0.000000411938290292494
368,0.000017466696089476300,0.000001484044016506190,0.000000287881199270350,0.000016927089343827200,0.000000274651009892513
369,0.000017395849060986500,0.000001516093535075650,0.000000333912809274880,0.000014816396242527800,0.000000137363729492531
370,0.000017323840605800200,0.000001548143053645120,0.000000379944419279409,0.000012705703141228300,0.000000000076242679999
371,0.000015688551817052100,0.000001513342503438790,0.000000413758064713588,0.000010560735799847700,0.000000000076499548950
372,0.000014052101601607400,0.000001478679504814310,0.000000447571710147766,0.000008415537655503500,0.000000000076756417901
373,0.000012416812812859300,0.000001443878954607980,0.000000481385355581945,0.000006270339511159320,0.000000000077011757870
374,0.000010781175596102300,0.000001409215955983490,0.000000515199001016123,0.000004125141366815150,0.000000000077268626821
375,0.000009145422236675530,0.000001374415405777170,0.000000549000404000833,0.000001979827820989220,0.000000000077525495772
376,0.000009817423723301700,0.000001342475928473180,0.000000492036286620227,0.000001846539109562170,0.000000000077137134382
377,0.000010489425209927900,0.000001310550206327370,0.000000435059926790152,0.000001713134996653360,0.000000000076750301974
378,0.000011161310553884400,0.000001278610729023380,0.000000378083566960077,0.000001579730883744550,0.000000000076361940584
379,0.000011833776611189200,0.000001246671251719390,0.000000321119449579472,0.000001446442172317490,0.000000000075973579194
380,0.000012505081241797400,0.000001214745529573590,0.000000264143089749397,0.000001313038059408680,0.000000000075586746785
381,0.000011527508391307900,0.000001284277854195320,0.000000231761810903126,0.000001631892353497820,0.000000000076536244515
382,0.000010549819398148700,0.000001353810178817060,0.000000199380532056854,0.000001950631246105200,0.000000000077485742244
383,0.000009572014262319830,0.000001423383768913340,0.000000166987010761113,0.000002269485540194340,0.000000000078435239974
384,0.000008594209126490980,0.000001492847317744150,0.000000134605731914842,0.000002588339834283470,0.000000000079384737703
385,0.000007616403990662130,0.000001562448418156810,0.000000102218331843835,0.000002907194128372610,0.000000000080334235433
386,0.000007788875855100410,0.000001433012379642370,0.000000083173977449408,0.000011107969626330000,0.000000000080832683516
387,0.000007961231576869020,0.000001303700137551580,0.000000064129623054981,0.000019308975927250900,0.000000000081329602618
388,0.000008133587298637650,0.000001174346629986240,0.000000045085268660554,0.000027509405220763000,0.000000000081826521719
389,0.000008306059163075920,0.000001044993122420910,0.000000026040914266126,0.000035709834514275200,0.000000000082323440821
390,0.000008478414884844540,0.000000915653370013755,0.000000006995825324731,0.000043911417822604800,0.000000000082820359922
391,0.000009200590004761850,0.000000893796423658872,0.000000036063807646634,0.000041287188127495600,0.000000000082699570356
392,0.000009922648982009500,0.000000871939477303989,0.000000065131055421569,0.000038664112447203800,0.000000000082577251808
393,0.000010644824101926800,0.000000850082530949106,0.000000094199527441451,0.000036039882752094500,0.000000000082456462242
394,0.000011366999221844100,0.000000828225584594223,0.000000123269223706279,0.000033416807071802800,0.000000000082334143694
395,0.000012089290484431100,0.000000806368638239340,0.000000152332798746373,0.000030792577376693500,0.000000000082213354127
