WL(nm),Ikonos Green,Ikonos Red,Ikonos NIR
350,0.000773147107698627,0.000643373114860673,0
355,0.00146268672096181,0.000799761429236614,0.000503947924267155
360,0.000865816663894681,0.000729424610859537,0.000390639200269439
365,0.00073089599552657,0.000806086608118069,0.00059653427353232
370,0.000717242624379927,0.000577317417114585,0.000328433869873598
375,0.00125067969298957,0.000841966753922621,0.000846727838380813
380,0.00170354191517774,0.000640948887113131,0.000650345445835424
385,0.00192179555693336,0.000868757371906702,0.000382543085695233
390,0.00279004419119394,0.000595626810543384,0.00149744563653223
395,0.0051836569477211,0.00130983439853521,0.00202002538852999
400,0.00767317998894436,0.00120219382223966,0.00302062895520494
405,0.0087905809793188,0.00268670873162106,0.00351588858338992
410,0.011868645696299,0.000989541301313892,0.00400774912320832
415,0.017451993313479,0.00127256468820258,0.00412792740012367
420,0.0350041382976913,0.00194493428967434,0.00778422641339513
425,0.0853979973448329,0.00265189334407036,0.00839158308732496
430,0.192927863343989,0.00337532236484065,0.00819236367479102
435,0.330545578076889,0.00403688960587341,0.00505701141596052
440,0.419484060524001,0.0057021577506068,0.00260875930523877
445,0.508185770217618,0.0090709017975809,0.00429429135431143
450,0.613230525056183,0.0113390405310206,0.00545467640865778
455,0.674206449391774,0.0112959824784544,0.005461991376465
460,0.720431949277674,0.0130378399071181,0.0029138848637344
465,0.760830927834567,0.0171947669948893,0.00169772913491105
470,0.760104272369883,0.0244585759079772,0.00154229913947263
475,0.788336312646848,0.0367039536453121,0.00364139354000436
480,0.856577703720456,0.0502638079387078,0.00428143739927486
485,0.889357689748969,0.0627550788529432,0.00251517401432587
490,0.943636199971093,0.109358072101929,0.00203179322599778
495,1,0.193106673070244,0.00132765899396111
500,0.986786214578839,0.291066856937745,0.00149866393557741
505,0.925542484933145,0.439567820356923,0.00150938204407655
510,0.761332640994586,0.650722918043064,0.00212782105008645
515,0.542443111980676,0.806551494460408,0.00236279783722485
520,0.313930057790204,0.871746072662748,0.00271580195631562
525,0.204092279137778,0.888354543631229,0.0033818302194267
530,0.151925480405812,0.889775086865487,0.00286865571027181
535,0.0856215971514485,0.874928076570694,0.0028591882699819
540,0.0431748315964752,0.85210805696464,0.00405889576629683
545,0.030974015125368,0.892319862767916,0.00602054692357344
550,0.0266429400931366,0.997668725296763,0.00716591015040452
555,0.0221527079649207,0.966134410990611,0.00933775884946395
560,0.0221380659649119,0.907737079616974,0.00925394620395375
565,0.0262224305694031,0.893217671952672,0.00874355382430107
570,0.0295655198455613,0.945860155900729,0.00951619738888411
575,0.0269782369617807,0.997232382052208,0.0103442761381891
580,0.0226206512852787,0.959822939139998,0.0133261593363769
585,0.025427473972344,0.877438730640049,0.020432961625563
590,0.0305013191366269,0.749737408423794,0.0284534624579455
595,0.0273556942936347,0.501969791917492,0.0347306407763672
600,0.0212696925424414,0.28316197812543,0.0428097528342293
605,0.0217203095824296,0.159878383113746,0.0575188751574935
610,0.029594108128195,0.106831213580342,0.0854533839409975
615,0.0342223883988572,0.0824881242894778,0.124857966877881
620,0.0270689849932563,0.0640108150536616,0.176409533203482
625,0.0194960439242108,0.0473700519417799,0.258443501519286
630,0.0194944947021559,0.0319659554043713,0.418846919187539
635,0.0190295278871738,0.0226867398021247,0.638115665099861
